"","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"1",436.56,461.94,430.7,449.76,97298200,449.76
"2",439.87,457.79,435.31,441.76,72279300,441.76
"3",415.6,437.79,408,423.43,76779200,423.43
"4",447.94,451,428.8,442.15,86406800,442.15
"5",453.13,455.68,407.07,449.39,109476800,449.39
"6",429.6,437.76,417.6,424.23,79580800,424.23
"7",405.16,412.15,375.88,380.36,95074200,380.36
"8",363.8,399.5,351.3,387.79,96561100,387.79
"9",393.47,408.73,391.3,407.34,67208500,407.34
"10",424.62,428.08,415.55,421.2,49719600,421.2
"11",416,428.5,411.6,419.07,50219300,419.07
"12",421.32,433.93,420.47,429.01,48145600,429.01
"13",440.76,448.88,434.42,448.16,50741500,448.16
"14",421.39,439.13,415,415.09,71430000,415.09
"15",423.35,433.64,419.33,425.68,44722800,425.68
"16",423.79,428.78,406.05,413.98,49146300,413.98
"17",419.87,429.9,413.85,425.3,43127700,425.3
"18",438.44,439,425.3,425.92,40421100,425.92
"19",430.13,434.59,426.46,434,28925700,434
"20",442,448.74,438.58,442.3,38791100,442.3
"21",443.35,448.89,436.6,446.65,34463700,446.65
"22",449.78,465.9,447.35,461.3,48045400,461.3
"23",450.31,456.57,442.5,448.88,35672400,448.88
"24",454.44,455.95,438.85,439.67,32775900,439.67
"25",446.24,447,428.87,430.83,36287800,430.83
"26",431.75,431.75,419.05,421.94,31656300,421.94
"27",422.7,432.95,421.25,422.64,32370500,422.64
"28",441.92,445.23,424.51,425.79,39993200,425.79
"29",421.84,422.89,407.38,420.63,33717000,420.63
"30",411.63,425.76,410,420.28,28239200,420.28
"31",423.76,430.5,420.1,424.68,22686500,424.68
"32",416.48,418.6,406,406.02,25451400,406.02
"33",409.96,418.06,406.46,410.83,22655300,410.83
"34",406.9,407.59,379.11,388.04,42511300,388.04
"35",394,406.98,392.3,400.51,29021100,400.51
"36",409.73,427.77,406.69,423.9,34351700,423.9
"37",430.62,435.4,417.1,420.98,32143100,420.98
"38",428.3,440,424,438.09,28414500,438.09
"39",436.1,436.57,424.28,429.95,21706000,429.95
"40",439.5,452.5,421,421.26,34833000,421.26
"41",420.09,420.09,396.03,410.36,30284200,410.36
"42",416.45,418.7,410.58,417.13,17357700,417.13
"43",415.05,423,409.52,411.76,19855100,411.76
"44",410.85,412.53,401.66,408.5,19771100,408.5
"45",408.93,412.45,404.09,408.09,26838600,408.09
"46",460.17,462,433.01,441.61,61188300,441.61
"47",448.35,496,443.5,486.64,78044000,486.64
"48",492,508.61,487.57,499.27,62475300,499.27
"49",497.99,502.5,489.06,489.61,32807300,489.61
"50",503.5,526,501.79,521.85,50260300,521.85
"51",540.4,559.99,526.2,555.38,53648500,555.38
"52",550.06,574,545.37,574,48930200,574
"53",581.16,598.78,578.45,585.76,37561100,585.76
"54",602.21,607.8,554.51,567.6,63003100,567.6
"55",597.59,597.85,572.05,584.76,40382800,584.76
"56",556.44,571.54,541.21,568.82,47775700,568.82
"57",590.02,598.97,582.43,593.38,42552000,593.38
"58",591.01,599.04,585.5,599.04,29401300,599.04
"59",604.92,648.79,603.05,641.76,56309700,641.76
"60",625.51,651.28,618.5,649.88,64265000,649.88
"61",653.69,654.32,588,604.48,71291200,604.48
"62",574.37,627.75,566.34,627.07,67083200,627.07
"63",615.01,624,596.8,609.99,46475000,609.99
"64",619,642.75,610.2,639.83,52040600,639.83
"65",643.28,646.9,623.8,633.25,45223600,633.25
"66",628.23,632.5,605,622.77,42095800,622.77
"67",628.19,658.82,619.5,655.9,56270100,655.9
"68",668.9,695,628.54,695,222126200,695
"69",666.24,668.5,646.07,649.86,58045300,649.86
"70",648,649.88,614.23,640.34,51716000,640.34
"71",632.2,651.5,622.57,645.98,33173000,645.98
"72",642.99,666.09,641,661.77,22865600,661.77
"73",674.51,681.4,660.8,663.69,32278600,663.69
"74",661,669.9,655,665.99,22910800,665.99
"75",672,696.6,668.36,694.78,42846000,694.78
"76",699.99,718.72,691.12,705.67,49570900,705.67
"77",719.46,744.49,717.19,729.77,48638200,729.77
"78",723.66,740.84,719.2,735.11,32245200,735.11
"79",758.49,774,749.1,755.98,44700000,755.98
"80",777.63,816.99,775.2,816.04,51498900,816.04
"81",856,884.49,838.39,880.02,75055500,880.02
"82",849.4,854.43,803.62,811.19,59554100,811.19
"83",831,868,827.34,849.44,46270700,849.44
"84",852.76,860.47,832,854.41,33312500,854.41
"85",843.39,863,838.75,845,31266300,845
"86",852,859.9,819.1,826.16,38777600,826.16
"87",837.8,850,833,844.55,25367000,844.55
"88",858.74,859.5,837.28,850.45,25665900,850.45
"89",855,855.72,841.42,844.99,20598100,844.99
"90",834.31,848,828.62,846.64,19977100,846.64
